iter	Logloss
212	0.1485606109
213	0.1484559693
214	0.1483746087
215	0.148245799
216	0.1480104139
217	0.1478275055
218	0.1476907884
219	0.147624
220	0.1474898991
221	0.1473791722
222	0.1472538042
223	0.1470826802
224	0.1469711642
225	0.1469048347
226	0.1469022077
227	0.146810806
228	0.1465817467
229	0.1463883033
230	0.1463195069
231	0.1462207232
232	0.146070472
233	0.1458871971
234	0.1457957049
235	0.145686348
236	0.145577495
237	0.145455974
238	0.1453597592
239	0.1451778603
240	0.1450718101
241	0.1449879253
242	0.1447853609
243	0.1446920568
244	0.1446024787
245	0.1443449198
246	0.1441213862
247	0.1438044307
248	0.1436828501
249	0.143574012
250	0.1433601893
251	0.1432724992
252	0.1431499772
253	0.1430385545
254	0.1429207533
255	0.1428038332
256	0.1426322973
257	0.1424355239
258	0.1423122947
259	0.1421854147
260	0.1419833869
261	0.1418904679
262	0.1417197441
263	0.1415766481
264	0.1414376614
265	0.1413417086
266	0.1412279143
267	0.1411646321
268	0.1410582394
269	0.1408440729
270	0.1407558391
271	0.1406836629
272	0.1405794678
273	0.1403985684
274	0.1402362057
275	0.1401050646
276	0.140000567
277	0.1398604015
278	0.1397961353
279	0.1396324763
280	0.139455762
281	0.1393694545
282	0.1392574497
283	0.1391037025
284	0.1390000906
285	0.1388784886
286	0.1387831298
287	0.1387110711
288	0.1386188026
289	0.1385071693
290	0.1384365132
291	0.1382205382
292	0.1380866186
293	0.1380333759
294	0.1378934488
295	0.1377941675
296	0.1376695127
297	0.1375004792
298	0.1373796232
299	0.1372350756
300	0.137037086
301	0.1369078443
302	0.1368840327
303	0.1367567929
304	0.1365862034
305	0.1364334266
306	0.1363033777
307	0.1360793956
308	0.1359503568
309	0.1357836551
310	0.135656535
311	0.1355643773
312	0.1353898359
313	0.1352620168
314	0.1351085866
315	0.1349606959
316	0.1348119431
317	0.1347107296
318	0.134581103
319	0.1344567112
320	0.134341257
321	0.1342550836
322	0.134143863
323	0.1340845432
324	0.1339425462
325	0.1338150926
326	0.1336983359
327	0.1336044302
328	0.1335031862
329	0.1334011747
330	0.1332983593
331	0.1331974002
332	0.1331315131
333	0.1330261341
334	0.1328313064
335	0.1327546546
336	0.1326672959
337	0.1325052586
338	0.1323731365
339	0.1322636221
340	0.1321287773
341	0.1320003318
342	0.1318750461
343	0.1317232869
344	0.131588387
345	0.1314581432
346	0.1313777329
347	0.1312735394
348	0.1311269768
349	0.1310072199
350	0.1309141153
351	0.1308284833
352	0.1307258076
353	0.1306155815
354	0.1305179824
355	0.1303985552
356	0.1303835224
357	0.1302747674
358	0.1300718169
359	0.1299483893
360	0.1298610106
361	0.1297338764
362	0.1296064876
363	0.1294690277
364	0.1293862576
365	0.1292914575
366	0.1291910043
367	0.1290943586
368	0.1289525275
369	0.12886036
370	0.1286760802
371	0.1285880275
372	0.1284639574
373	0.1282797591
374	0.1281105169
375	0.1279695074
376	0.1278666825
377	0.1277739809
378	0.1276498195
379	0.1275294364
380	0.1274197245
381	0.127330982
382	0.1272330285
383	0.127160418
384	0.1270791764
385	0.1269277108
386	0.1267878415
387	0.1267015167
388	0.1265926866
389	0.1265090622
390	0.126443084
391	0.1263100439
392	0.1262129761
393	0.1261147145
394	0.1260186056
395	0.1259007821
396	0.1258114368
397	0.1257088803
398	0.1255980699
399	0.1255161171
400	0.1254118016
401	0.1253382178
402	0.1252719142
403	0.1251779337
404	0.1250717466
405	0.1249806713
406	0.1248115457
407	0.1247112744
408	0.1245076533
409	0.1244037012
410	0.1243325185
411	0.124156536
412	0.124083582
413	0.1239576557
414	0.1238254654
415	0.1237364698
416	0.1236406372
417	0.123567352
418	0.12339291
419	0.123303994
420	0.1232370479
421	0.12311531
422	0.1229300555
423	0.1228411008
424	0.1227422357
425	0.1225908191
426	0.1225074912
427	0.1224345606
428	0.1223631357
429	0.1222453708
430	0.1221529502
431	0.1220441863
432	0.1219821956
433	0.1218223605
434	0.1217683183
435	0.1216790565
436	0.1216083589
437	0.1215257396
438	0.1213853159
439	0.1212619323
440	0.1211459032
441	0.1210446794
442	0.1209609199
443	0.1208423941
444	0.1207585539
445	0.1207013207
446	0.1205921888
447	0.120442985
448	0.120339688
449	0.1203061155
450	0.1202283377
451	0.1201060354
452	0.1199775475
453	0.1198822238
454	0.1197911511
455	0.1196717882
456	0.1195856307
457	0.1194268801
458	0.1193450963
459	0.119252616
460	0.1191740983
461	0.1190981545
462	0.1189526902
463	0.118891514
464	0.118808711
465	0.1187193242
466	0.1185986747
467	0.1184079671
468	0.1183211727
469	0.1182520371
470	0.1181365044
471	0.1180299056
472	0.1179459049
473	0.1178831972
474	0.1177471613
475	0.1176856951
476	0.1175501145
477	0.117406784
478	0.117324813
479	0.1172398994
480	0.1171922882
481	0.1170637082
482	0.1169112289
483	0.1168566452
484	0.1167914135
485	0.1167465783
486	0.1166815321
487	0.1165986679
488	0.1165168582
489	0.1164242839
490	0.116374195
491	0.1163319491
492	0.1162548188
493	0.1162159235
494	0.1161430339
495	0.1160491297
496	0.1159846913
497	0.1159064974
498	0.1158508392
499	0.1158118692
500	0.1157388536
501	0.1156174197
502	0.1155814122
503	0.1154970513
504	0.1153516592
505	0.1152910305
506	0.115213426
507	0.1151331238
508	0.1150454014
509	0.1149455376
510	0.1148884343
511	0.1148108541
512	0.1147208128
513	0.1146846217
514	0.1146174747
515	0.1145419397
516	0.1144831249
517	0.1143967081
518	0.1143629805
519	0.1142594831
520	0.1141878293
521	0.1141060719
522	0.1139941531
523	0.11389737
524	0.1138211452
525	0.113787323
526	0.1136666818
527	0.1135300039
528	0.1134542258
529	0.1133885912
530	0.1133006183
531	0.1131689397
532	0.1130857682
533	0.1130546387
534	0.1129108395
535	0.1128180848
536	0.1126711009
537	0.1125462071
538	0.1124632563
539	0.1124290641
540	0.1123546124
541	0.1122731801
542	0.1121968608
543	0.1121076018
544	0.1120163525
545	0.1119123181
546	0.1118090925
547	0.1117272344
548	0.1116274552
549	0.1115678964
550	0.111538316
551	0.1114347068
552	0.1113096376
553	0.1111805806
554	0.1110581559
555	0.1110279545
556	0.1109595415
557	0.1108994776
558	0.1108122644
559	0.1106705808
560	0.1105978672
561	0.1105631886
562	0.1104889947
563	0.1103852068
564	0.1103083671
565	0.1102082778
566	0.1101557698
567	0.1100411353
568	0.1099485346
569	0.1098930186
570	0.109793675
571	0.1097203179
572	0.1096327086
573	0.1095331851
574	0.1094795586
575	0.1094078272
576	0.1093781136
577	0.1093160479
578	0.1092102665
579	0.1090590049
580	0.1089938032
581	0.108930163
582	0.1088146905
583	0.1087521247
584	0.1086691236
585	0.1085535568
586	0.1084858618
587	0.1084049193
588	0.1083226303
589	0.1082658111
590	0.1081755137
591	0.1081087897
592	0.1080117696
593	0.107956995
594	0.107825188
595	0.1077380832
596	0.1076456348
597	0.107510173
598	0.1074364835
599	0.1073756991
600	0.1072775764
601	0.1072012449
602	0.107117519
603	0.1070243658
604	0.1069755433
605	0.1068951335
606	0.1068077579
607	0.1067414901
608	0.106699224
609	0.1066716541
610	0.1065987975
611	0.1064957214
612	0.1064431617
613	0.10637569
614	0.1062941733
615	0.1062488814
616	0.1061520659
617	0.1060828368
618	0.1060041087
619	0.1059218519
620	0.1058705003
621	0.1058446853
622	0.1057810679
623	0.1056625108
624	0.1055849849
625	0.105522875
626	0.105447441
627	0.105384041
628	0.1053209225
629	0.1051980887
630	0.1051187002
631	0.1050440559
632	0.1050076308
633	0.1049367311
634	0.104895373
635	0.1048236981
636	0.1047305031
637	0.1046443867
638	0.1046186919
639	0.1044943013
640	0.1043825022
641	0.1043259044
642	0.1042723522
643	0.1041913583
644	0.1041343191
645	0.104065947
646	0.1039604659
647	0.1038926243
648	0.1038348339
649	0.1037872824
650	0.103751024
651	0.1036272836
652	0.1035314501
653	0.1034742694
654	0.1033702711
655	0.1033180269
656	0.1032484255
657	0.1032333752
658	0.103116943
659	0.1030837046
660	0.1030078081
661	0.1029860854
662	0.1029080246
663	0.1028761673
664	0.1028047877
665	0.1027408676
666	0.1027103511
667	0.1026170912
668	0.1025802503
669	0.1024823621
670	0.1024322672
671	0.1023501393
672	0.1022366227
673	0.1022077372
674	0.1021332792
675	0.1020333376
676	0.1019799292
677	0.1018694829
678	0.1017969601
679	0.1017701292
680	0.1016760671
681	0.1016187354
682	0.1014982066
683	0.1014324936
684	0.1013791727
685	0.1012579958
686	0.1011817143
687	0.1011212056
688	0.1010690873
689	0.1010044032
690	0.1009409827
691	0.1008486643
692	0.1007883827
693	0.1007169801
694	0.1006482355
695	0.1005811005
696	0.1004853683
697	0.1004309042
698	0.10030908
699	0.1002306524
700	0.1001584785
701	0.1001100696
702	0.1000239425
703	0.09993012865
704	0.09986245935
705	0.09984136457
706	0.09977811361
707	0.0997125665
708	0.09963850317
709	0.09955045746
710	0.09948867718
711	0.09941913696
712	0.09933184509
713	0.09926868684
714	0.09919323809
715	0.09917442629
716	0.09915617064
717	0.09910537948
718	0.09900214874
719	0.09892729466
720	0.09883541943
721	0.09872597999
722	0.09862131104
723	0.0984893815
724	0.09842643647
725	0.09840937499
726	0.09832288015
727	0.09826743891
728	0.09819566063
729	0.09811668525
730	0.09804967216
731	0.09799558328
732	0.09796026199
733	0.09789122908
734	0.09783471743
735	0.09776080127
736	0.09768893801
737	0.09760588404
738	0.09754658825
739	0.09742543922
740	0.09737040549
741	0.0973079598
742	0.09722119862
743	0.09712241198
744	0.09706611767
745	0.09695709472
746	0.09690254519
747	0.09683085026
748	0.09677187572
749	0.09670448114
750	0.09655585951
751	0.09650423476
752	0.09642830964
753	0.0963211833
754	0.09630551261
755	0.09625169893
756	0.09623649693
757	0.09615542107
758	0.09610350108
759	0.09605706959
760	0.09597454242
761	0.09586113421
762	0.09583109997
763	0.09579090082
764	0.09570992485
765	0.09566652959
766	0.09560773335
767	0.09551276242
768	0.09545606273
769	0.09543966989
770	0.09536539359
771	0.095283135
772	0.09522935136
773	0.09519446616
774	0.09514281298
775	0.0950618108
776	0.09500865324
777	0.09495477004
778	0.09486207499
779	0.09480985778
780	0.09477910682
781	0.09466833349
782	0.09456087324
783	0.09449596195
784	0.09443690351
785	0.09433169558
786	0.0942338369
787	0.0941751684
788	0.09406163417
789	0.09397341982
790	0.09386859932
791	0.09378917055
792	0.09372487842
793	0.09367352759
794	0.0936208602
795	0.09358546802
796	0.0935229538
797	0.09341902925
798	0.0933616629
799	0.09326957762
800	0.09319888274
801	0.09314975099
802	0.09309041396
803	0.09301616909
804	0.09294389308
805	0.09287790451
806	0.09281886099
807	0.09274477731
808	0.09272474896
809	0.09260735223
810	0.09254953635
811	0.09249688325
812	0.09245397836
813	0.09240021553
814	0.09229032088
815	0.0922181477
816	0.0921702767
817	0.09209488777
818	0.09202061601
819	0.09197544485
820	0.09194388103
821	0.09187480205
822	0.0918205783
823	0.09176123214
824	0.09170877303
825	0.09166028282
826	0.09156797442
827	0.09152946947
828	0.09145926622
829	0.09140356065
830	0.09133380384
831	0.09131526596
832	0.09123127801
833	0.09118420117
834	0.09112869575
835	0.09109722351
836	0.09104647209
837	0.09098635595
838	0.09091985002
839	0.09085835156
840	0.09081099332
841	0.09072920131
842	0.09062724165
843	0.09054726468
844	0.0904733408
845	0.090409129
846	0.09035776298
847	0.09029960059
848	0.09022981288
849	0.09017464288
850	0.0901185543
851	0.09004270465
852	0.08995753342
853	0.08992012196
854	0.08987183002
855	0.08980660726
856	0.08975764389
857	0.08968936812
858	0.08965383588
859	0.08961091916
860	0.08953927556
861	0.08947064888
862	0.08935707322
863	0.08927278902
864	0.08919720767
865	0.08912578261
866	0.0890029352
867	0.08893192815
868	0.08885961312
869	0.08878939943
870	0.08872266958
871	0.08866325828
872	0.08859541388
873	0.08853924289
874	0.08845981967
875	0.08836932729
876	0.08831355429
877	0.0882659206
878	0.08822115257
879	0.08818496869
880	0.08812278243
881	0.08801859497
882	0.08795927535
883	0.08790465115
884	0.08785158448
885	0.08775060578
886	0.0876977841
887	0.0875824271
888	0.08752290567
889	0.08745645908
890	0.08741008709
891	0.08733785856
892	0.08727443227
893	0.08722856322
894	0.08717068913
895	0.08709130522
896	0.08702844828
897	0.08696971152
898	0.08691430905
899	0.08685412153
900	0.08680950201
901	0.08674185241
902	0.08669799026
903	0.08664684782
904	0.08659095794
905	0.08655315393
906	0.0864794722
907	0.08641482319
908	0.08635350871
909	0.08626015865
910	0.08621566434
911	0.08618093481
912	0.08609254529
913	0.08603168126
914	0.08596135927
915	0.08591586253
916	0.08587435202
917	0.08580758669
918	0.0857499676
919	0.08570775923
920	0.08565095108
921	0.08559347194
922	0.0855458752
923	0.08548870384
924	0.08544587131
925	0.08534937391
926	0.08526553282
927	0.08521637156
928	0.08511680236
929	0.08507825773
930	0.08503021197
931	0.08491602062
932	0.08485364143
933	0.08479097078
934	0.08474164751
935	0.08467404939
936	0.08463377631
937	0.08459163862
938	0.08453597057
939	0.08451143909
940	0.08447090593
941	0.08440366094
942	0.08431710601
943	0.08425877062
944	0.08421284668
945	0.08413145347
946	0.08402269547
947	0.08396787769
948	0.08391471979
949	0.08386862955
950	0.08382095864
951	0.08376903974
952	0.08374583818
953	0.08357686385
954	0.08350602397
955	0.08345823036
956	0.08335669545
957	0.08329429978
958	0.08325545548
959	0.0832054688
960	0.08311524237
961	0.08306776106
962	0.08300564449
963	0.08294953071
964	0.08287159083
965	0.0828266027
966	0.08280430507
967	0.08275119074
968	0.08266593116
969	0.08261814443
970	0.08259676334
971	0.08254529479
972	0.08249663377
973	0.08240205082
974	0.08233965728
975	0.08230391534
976	0.08225202303
977	0.08217067204
978	0.08211913381
979	0.0820303465
980	0.08198672008
981	0.08193167891
982	0.0818692327
983	0.08181755054
984	0.0817616937
985	0.0817151148
986	0.0816513351
987	0.08160275392
988	0.0815152994
989	0.0814606214
990	0.08141583665
991	0.08135867685
992	0.08131257897
993	0.08119100866
994	0.08113874493
995	0.0810553899
996	0.08098220021
997	0.08093539755
998	0.08086195601
999	0.0808164949
